-88	-92		-70		-66																																																-74																																																															north
	-88		-72		-68																																																																											-72																																				north
	-92	-96			-66																																																																																																															north
-90	-92		-68		-66																																																																																																															north
	-84				-68												-92							-90																																																																																												north
-88	-86		-74		-66				-94																																																																								-78																																			north
-90	-92		-70		-64																																																																																																															north
-88	-90		-70		-68																		-90																																																							-68		-74																																				north
-92	-90		-74		-64																																																																																																															north
-88	-90		-70		-68																																																																									-74	-84	-70	-84																																			north
-92	-86		-72		-64																																																																																																															north
	-84		-72		-64																																																																									-68	-82		-78																																			north
-88			-72		-68														-86																																																																																																	north
-92			-76		-64													-80																																																																																																		north
-86	-90		-74		-64																																																																																																															north
-92	-88		-70		-68																																																																																																															north
-88	-88		-76		-64																																																																																																															north
-92	-90		-76		-64																																																																										-82	-70																																				north
-86			-74		-64																			-88																																																																																												north
-92	-86				-64																																																																										-82	-74	-78																																			north
-94	-90		-72		-64																																																																																																															north
	-90		-72		-64																																																																																																															north
-92	-90	-94			-68																																																																																																															north
-92	-86		-72		-68																																																																																																															north
-86	-90	-96	-74		-68																																																-68																																																															north
-92	-86		-72		-64																																																																											-70																																				north
-92	-90		-72		-68																																																																																																															north
-92	-90		-76		-68																																																																											-74	-78																																			north
-92	-90		-72		-68																																																																																																															north
-94	-94		-70		-68					-96								-78																																																															-90																																			north
-92	-88		-72		-68																																																-74																																																															north
-90	-86		-72		-66																																																																									-74																																						north
-92	-86		-78		-68																																																																																																															north
-92	-88		-72		-66																																																-72																											-74																																				north
	-88	-94	-72		-70												-90																																																																																																			north
	-92	-94	-72		-66														-90																																																													-70																																				north
	-92		-72		-66													-82																																																																																																		north
-88	-88		-72		-68					-96																																																																					-72		-90																																			north
-94	-90		-74		-66																																																																									-76																																						north
-90	-90		-74		-66					-96																																																																							-92																																			north
-94	-90		-70		-66																																																																																																															north
-88					-68														-84																																		-74																										-78																																					north
-88			-76		-66																																																																																																															north
-92	-90	-96	-70		-66														-86																																																												-74	-68																																				north
			-72		-68																																																																																																															north
-88	-88		-70		-66																																																																											-74																																				north
-94	-86		-72		-66																																																																																																															north
-88			-72		-68																			-88					-88																																																			-78																																				north
-92	-90	-96	-72		-64				-92																																																																																																											north
-94	-90	-94			-68																																																																												-78																																			north
-90	-90		-70		-68																																																																																																															north
-86	-90		-70		-68					-96																			-88																								-74																												-90																																			north
-88	-90		-72		-68													-80																																																																																																		north
-90	-90		-74		-66																																																																																																															north
-92	-90	-94	-76		-66																																																																									-78																																						north
	-90		-70		-64																																																-76																										-80	-76																																				north
	-88		-74		-68														-84																																																																																																	north
-96	-92	-96			-68																																																																																																															north
-88	-90		-74		-68					-96								-80																																																																																																		north
-94	-88		-70						-94																																																																								-90																																			north
