-86	-86	-86	-80	-86	-78	-66	-74	-94	-90			-90	-96	-90			south
-86	-86	-86	-80	-86	-78	-64	-74	-94	-92	-86		-90	-92	-92			south
-86	-86	-88	-76	-88	-74	-68	-74	-94	-90	-86		-90	-92	-92			south
-86	-92	-90	-80	-90	-78	-62	-74	-92	-92			-90	-90	-90			south
-88	-86	-86	-82	-86	-76	-70	-74	-94	-92			-90	-92	-90			south
-86	-86	-86	-76	-88	-78	-70	-74	-94	-90	-90		-92		-92			south
-86	-86	-90	-80	-86	-78	-68	-74	-94	-92	-86		-88		-92			south
-88	-86	-86	-80	-86	-76	-68	-74	-94	-88	-86		-90	-92	-92			south
-86	-90	-90	-80	-88	-74	-70	-74	-96	-90	-90		-92	-92	-84			south
-86	-92	-88	-78	-88	-74	-70	-74	-96		-86	-86	-90	-96	-86			south
-88	-84	-90	-76	-88	-78	-62	-74	-96	-90	-92	-78	-90	-92	-88			south
-86	-94	-86	-80	-86	-76	-62	-74	-96	-90	-86	-84	-90	-94				south
-86	-86	-86	-80	-86		-66	-74	-96	-90		-74	-92	-92	-84			south
-86	-84	-88	-76	-86	-74	-66	-74	-94	-92	-86	-76	-92	-92	-86			south
-88	-86	-88	-80	-88	-74	-66	-76	-96	-90	-90	-70	-90	-92	-90			south
-88	-86	-88	-76	-86	-76	-68	-74	-94	-86	-86	-72		-92	-94			south
-86	-94	-88	-80	-86	-74	-68	-72	-94	-90		-78	-92		-86			south
-86	-86	-86	-78	-88	-74	-68	-74	-92	-90	-86	-64	-90		-84			south
-86	-86	-86	-78	-88	-78	-66	-74	-96	-90	-86	-66	-92	-92	-88			south
-86	-90	-86	-80	-86	-78	-66	-74	-96	-88	-90	-82	-88	-92	-92			south
-86	-86	-86	-80	-86	-74	-66	-78	-96	-88	-86	-72	-90	-92				south
-86	-88	-86	-80	-86	-78	-70	-78	-96	-88	-90	-84	-90	-92	-92			south
-86	-86	-88	-76	-86	-76	-62	-76	-96	-92	-88	-68	-90	-96				south
-86	-88	-86	-76		-78	-64	-78	-96	-90	-86	-76		-92				south
-86	-86	-88	-76	-88	-78	-64	-76	-94	-90	-88	-74	-90	-92				south
-86	-90	-88	-76	-86	-78	-68	-78	-96	-90	-92	-68	-92	-94				south
-86	-84	-86		-86	-76	-62	-76	-96	-88	-88	-76	-92	-94				south
-86	-92	-88	-78	-88	-76	-62	-80	-96	-88	-88	-74	-90		-92			south
-88	-88	-88	-80	-88	-76	-62	-76	-96	-88		-74	-92					south
-86	-86	-88	-80	-88	-78	-62	-74	-94	-88	-88	-74	-90	-92				south
-88	-86	-88	-80	-86	-76	-68	-76	-96	-88	-90	-78	-90	-92	-86			south
-86	-84	-88	-76	-86	-76	-62	-76	-96	-88	-84	-74	-90	-94				south
-86	-88	-88	-78	-86	-76	-68	-74	-96	-90	-84	-64	-92	-96	-92			south
-86	-86	-86	-76	-88	-74	-66	-76	-92	-86	-86	-62		-96				south
-86	-86	-86	-78	-92	-78	-68	-74	-96	-90	-90	-72	-90	-94				south
-88	-86	-86	-78	-86	-76	-68	-74	-96	-94	-84	-70	-94	-92				south
-86	-86	-88	-80	-86	-78	-66	-74	-96	-90	-86	-72	-90	-92				south
-88	-86	-88	-82	-86	-74	-66	-78	-96	-90	-90	-74	-88	-92	-90			south
-86	-86	-88	-76	-86	-74	-68	-78	-96	-90	-84	-70	-90	-94	-92			south
-88	-86	-86	-82	-86	-78	-70	-76	-96	-90	-90	-64	-92	-94	-86			south
-86	-86	-88	-78	-86	-78	-66	-76	-96	-88	-90	-74	-92	-94				south
-86	-86	-88	-80	-88	-78	-64	-76	-94	-88	-86	-78	-92	-94				south
-88	-86	-88	-78	-88	-76	-64	-78	-96	-90	-90	-84	-92	-92				south
-86	-90	-88	-74	-86	-76	-66	-76	-96	-90	-84	-88	-90	-92				south
-88	-80	-86	-76	-80	-76	-64	-74	-96	-88	-94	-72	-90	-94				south
-88	-88	-88	-80	-84	-78	-64	-74	-94	-92	-90	-76	-92	-90				south
-90	-82	-86	-78		-78	-64	-72	-92	-92	-90	-62	-90	-96				south
