-90	-86	-92			-60	-96			-94	-96		-96	-92	-86		-96																																																																																																				center
-90	-80		-74	-24	-60	-96		-80	-90	-96						-94																																																																																																				center
-90	-84		-72	-28	-60	-96		-84	-94	-96		-90	-96			-94			-80																																																																																																	center
	-80		-72	-28		-96			-90							-94		-80																																																																																																		center
-88	-86	-90	-74		-66	-96			-90	-96									-84																																																																																																	center
-92	-86	-94	-76	-26		-96		-84	-92	-96		-88					-86	-78					-96																																																																																													center
-92	-82		-74	-26	-60	-96				-96		-96	-94		-86																																																																																																					center
-88	-86		-74		-60	-96		-80		-96		-90				-94																																																																																																				center
-88	-82	-96		-26	-60	-96			-92			-90				-96																																																																																																				center
-88	-78	-92	-74	-28	-66	-96		-86	-90			-90				-94																																																																																																				center
-92	-86		-78	-28		-94		-80	-92	-96		-88	-94			-96																																																																																																				center
-92	-78	-90		-26	-60	-96		-84					-92			-96		-82																																																																																																		center
-90	-82		-80	-24	-58	-96			-90	-96		-90				-96			-80		-92																																																																																															center
-90	-78		-80	-28	-60	-96		-84	-94			-90	-94			-96									-92																																																																																											center
-92	-80	-94	-74	-26	-66	-94			-90							-96									-92																																																																																											center
-92	-86	-88	-72	-24		-96		-84		-96		-88				-92	-86																																																																																																			center
-92	-84		-74			-96		-86	-94	-96		-90				-92																																					-82																																																															center
-92	-82	-92	-80	-28	-60	-94		-84	-96				-94			-96		-80																																																																																																		center
-88	-82	-90	-72	-26	-60	-96		-84	-90			-90										-96		-92																																																																																												center
-90	-80			-28	-58	-96			-90	-96		-90	-94		-92																																																																																																					center
-92	-78		-82			-96		-84	-96	-96						-94																																																																																																				center
-90	-78		-74	-28	-66	-96						-90				-94																																																																																																				center
	-84		-74			-96		-80	-92	-96		-90				-94																																																																																																				center
-92	-82		-74	-24	-60	-96			-90	-96		-96						-78																																																																																																		center
-90	-82		-76		-60	-96		-86	-92			-90	-96				-92		-80																																																																																																	center
-90	-80	-88	-78	-26	-60	-94		-80	-90			-88	-92		-86						-90																																																																																															center
-92	-78		-80	-28	-60	-96			-92				-96																																																																																																							center
-88	-82		-76	-26	-66	-96		-82				-88				-94																																																																																																				center
-90	-84				-66	-94		-82				-90				-92																																																																																																				center
-92	-86		-74	-24	-60	-96		-82	-94			-90				-92																																																																																																				center
-92	-82			-26		-94		-78	-90	-96		-90								-96																																																																																																center
-88	-82		-74	-28	-60	-96		-84	-94						-88																																																																																																					center
-88	-78		-78	-28	-60	-96		-86	-90								-92																																																																																																			center
-90	-84	-92	-74	-24		-96		-84	-94	-96		-90				-90		-78																																																																																																		center
-90	-78		-74		-66	-96		-80	-92	-96						-94																																																																																																				center
-90	-84		-78		-66	-96		-78	-90	-96			-94																																																																																																							center
-92	-78		-74	-28	-60	-96		-86	-94	-96																																																																																																										center
-92	-84	-92	-78			-96				-96				-92		-92																																																																																																				center
-88	-84			-28	-60	-96		-80	-88			-90	-94				-92																																																																																																			center
-92	-82		-74	-24	-60	-96		-80	-94						-88	-92					-92	-96																																																																																														center
-88	-82		-80		-66	-96			-90	-96		-90				-92		-80						-96																																																																																												center
-92	-84		-74	-26	-66	-94		-84				-90	-92			-90			-80																																																																																																	center
-90	-82		-74	-24	-60	-96						-90				-92						-96																																																																																														center
-92	-80		-82		-58	-96		-86		-96			-94			-92																																																																																																				center
-88	-80	-90	-74	-28	-60	-94		-88	-96			-90	-94																																																																																																							center
-90	-82		-82	-28	-60	-96		-84	-94	-96		-90			-86	-92			-80																																																																																																	center
-88	-84		-74	-28		-96		-82	-94			-88	-94			-96																																																																																																				center
-88	-84		-78		-66	-96		-80		-96		-90	-94			-94																																																																																																				center
-88	-84		-74	-28	-66	-96			-94	-96		-90				-92	-92																																																																																																			center
-92		-90	-74	-26	-60	-96			-90							-94					-92																																																																																															center
-92	-84	-90	-76	-26	-60	-96		-86	-88			-90				-92	-88																																																																																																			center
-90	-84		-74		-58	-96		-86		-96		-96																																																																																																								center
-88	-84		-74	-28	-64	-96			-92			-90						-78																																																																																																		center
-90	-82		-74	-28	-64	-96		-84	-90	-96		-96				-94			-80																																																																																																	center
-86	-78		-74	-28	-60	-96		-84				-90	-94		-86																																																																																																					center
-92	-82	-94	-76		-60	-94			-94	-96		-90		-88		-92								-96																																																																																												center
-88	-82		-74	-26		-94		-84	-92			-90	-94			-90																																																																																																				center
-88	-86		-78	-24	-58	-96			-90			-90				-96					-92																																																																																															center
-90	-82	-90	-74	-26		-94		-80	-90	-96		-96				-90		-82																																																																																																		center
-92	-84		-78		-66	-96		-84	-94				-94						-80																																																																																																	center
-92	-86		-74	-26	-60	-94		-86	-94			-90																																																																																																								center
-88	-78	-96	-76	-26	-60	-96			-90			-96		-90		-94																																																																																																				center
-88	-84		-74	-28		-96			-94			-90	-94		-92	-92																																																																																																				center
-88	-82			-28	-60	-96		-84	-92							-94	-90																																																																																																			center
-88	-84	-94	-82	-28	-66	-96		-80				-90			-88	-96																																																																																																				center
-92	-82	-90	-76		-66	-96		-82	-94			-88				-94																																																																																																				center
-92	-84		-76	-28	-60	-96		-86	-90			-90				-96		-80			-92																																																																																															center
-92	-88	-90	-82	-28	-58	-96			-94			-90				-96																																																																																																				center
-88	-84		-82		-58	-94		-88	-94			-90																																																																																																								center
-92	-84		-74	-26	-66	-96		-84	-94			-90		-86		-90			-80					-94																																																																																												center
-90	-84	-90	-74	-26	-66	-96		-84	-92						-86	-90																																																																																																				center
-92	-78		-74	-24		-96		-84	-92				-94			-90						-96																																																																																														center
	-82		-74		-58	-94		-82	-90				-92			-90																																																																																																				center
-90	-84	-92		-26	-60	-94							-96			-90																																																																																																				center
-88	-82		-84	-28	-58	-96										-94																																																																																																				center
-88	-80		-74	-26	-66	-94		-84	-92			-90	-94				-92	-80					-92																																																																																													center
-88	-86		-74	-28		-96			-90					-90		-92																																																																																																				center
-92	-82		-74	-28	-60	-96		-84	-88			-90	-96				-92	-80																																																																																																		center
-92	-82		-72	-26	-58	-96		-86				-90	-96		-86	-92			-80			-96																																																																																														center
-92	-80		-74			-94		-82	-94			-88				-92						-96																																																																																														center
	-86		-74	-26	-58	-96		-86	-90			-88																																																																																																								center
-88	-84		-78		-58	-96			-94			-88																																																																																																								center
-92	-80	-90	-78	-26	-66	-96		-86	-90																																																																																																											center
-88	-78		-74	-26	-60	-96			-90			-90				-94		-82																																																																																																		center
-92	-80		-74	-26	-58	-94		-84	-96					-88		-92					-92																																																																																															center
-88	-80	-90	-78	-26	-58	-96		-88								-94	-94																																																																																																			center
-88	-78		-74	-26	-66			-82	-90				-96		-92	-94								-94	-96																																																																																											center
-88	-84		-78		-66	-96		-94	-94			-90				-92					-92				-96																																																																																											center
-88	-84		-74	-26		-96			-88			-90	-94		-86	-92																																																																																																				center
-88	-78	-90	-78		-60	-96		-86	-90			-90										-96			-92																																																																																											center
-92	-78		-74			-96		-90	-94				-96	-92		-92									-90																																																																																											center
-88	-84		-74	-28	-58	-96		-92	-90			-90						-80							-92																																																																																											center
-92	-80	-92	-74		-58	-96			-94							-92																																																																																																				center
	-86		-76		-66	-94			-94			-90																																																																																																								center
-92	-82	-90	-72	-28	-66	-96		-90	-92							-94	-86																																																																																																			center
-90	-82		-80		-60	-96			-94			-90				-94																																																																																																				center
-92	-84		-80	-26		-96		-86	-96				-94			-92																																																																																																				center
-92	-84		-76	-24	-58	-96		-86	-90							-94		-80																																																																																																		center
-92	-78			-26	-58	-96		-82	-92			-90	-96			-92			-80		-92																																																																																															center
-92	-84		-76	-26	-66	-94		-86	-94			-90				-94		-80																																																																																																		center
	-82		-76		-66	-94						-90				-96	-94																																																																																																			center
-88	-78		-74	-26					-92			-90				-94						-96																																																																																														center
-92	-84	-90	-76	-26	-60	-96		-88	-94				-94			-92							-94																																																																																													center
-92	-82		-74	-28	-58	-96		-84	-90												-92																																																																																															center
-88	-78		-72	-26	-58	-96		-84	-94			-90				-94			-80		-92																																																																																															center
-90	-80	-92	-86	-24	-58	-96							-96		-86	-92						-96																																																																																														center
-90	-84	-90	-82	-26		-96		-94	-90							-90						-96																																																																																														center
-88	-80		-72	-24	-64	-94			-92			-96		-86	-84	-92																																																																																																				center
-90	-82		-78			-96		-86	-94			-90	-96			-94								-94																																																																																												center
-90	-80		-82		-62	-96		-86					-94			-94																																																																																																				center
-90	-78		-80	-28		-96			-92			-90				-94		-78																																																																																																		center
-90	-82	-90	-76		-60	-94		-88	-90			-90	-94																																																																																																							center
-90	-88	-94	-76	-26	-62	-96		-94	-92				-92																																																																																																							center
-90	-84	-94	-82		-66	-94			-90			-96	-96								-92																																																																																															center
-88	-80		-76	-24	-60	-94			-94			-90	-92																																																																																																							center
-88	-80		-84		-60	-94		-84	-88			-94				-88			-80		-92																																																																																															center
-92	-80	-90	-76	-26	-60	-94			-90							-96																																																																																																				center
-88	-82	-92	-76	-24	-58	-96		-90	-92																																																																																																											center
-92	-78	-90	-86	-28	-64	-94		-84	-88			-90	-96			-92																																																																																																				center
-90	-82		-74	-28	-66	-96		-84	-88			-90																																																																																																								center
-88	-84		-74	-24		-94			-94			-90	-94			-92	-90																																																																																																			center
-88	-84		-80	-28	-60	-94		-84	-94							-92			-80																																																																																																	center
-88	-86		-74	-26		-94			-94			-96	-94			-96																																																																																																				center
-90	-82		-74	-28	-60	-96		-92	-90			-96	-94	-92					-78																																																																																																	center
-90	-84		-84	-26	-66	-96		-82	-90			-96						-80					-92																																																																																													center
-90	-80	-90	-76	-24	-68	-96			-88																																																																																																											center
-88	-80	-94	-82	-26	-68			-84	-94									-76																																																																																																		center
-90	-78		-76	-26	-58	-96			-94			-96	-96			-92	-86																																																																																																			center
-90	-86		-74	-28	-60	-96		-84	-94			-90				-96																																																																																																				center
-88	-84		-74			-94		-92	-90			-90					-92		-82																																																																																																	center
-88	-84	-90	-80	-28	-58	-94			-94			-90			-90			-78																																																																																																		center
-92	-82	-94	-76	-28		-94		-92	-96			-90	-92	-86					-80			-96	-94						-96																																																																																							center
-90	-84		-74	-26	-66	-96						-92																-96																																																																																								center
-90	-80	-88	-84	-24	-66	-94		-84				-90	-92								-92																																																																																															center
-94	-86		-74	-26	-60	-96			-90			-92	-92																																																																																																							center
-92	-82		-74	-24		-96			-94			-96																																																																																																								center
-88	-82	-90	-82	-28	-60	-94			-90			-92	-96					-80																																																																																																		center
	-82	-92	-74	-26	-60	-94			-88			-96	-92			-92	-88		-78																																																																																																	center
-88						-94						-92																																																																																																								center
		-90			-66	-96			-90												-92																																																																																															center
-90	-86				-60	-94										-90																																																																																																				center
-94	-84		-80	-26	-60			-84				-92				-90																																																																																																				center
-88	-80					-96		-84	-88							-96																																																																																																				center
-92	-80			-26	-60	-94		-84	-88													-96																																																																																														center
-88	-88		-74		-60	-96			-96			-96			-90																																																																																																					center
-90	-80	-88	-76	-24	-66	-94		-84	-96								-90									-72																																																																																										center
-90	-82		-74	-28	-66	-96						-96	-94													-62																																																																																										center
	-82	-90	-76	-26		-94		-84	-94			-92						-80								-60																																																																																										center
	-80	-92		-24	-60	-96			-94			-96			-90	-90										-60																																																																																										center
-88	-82	-90	-74			-92		-82	-92			-96														-66																																																																																										center
-92	-82	-90	-76	-26	-60	-96						-92		-86	-86											-60																																																																																										center
-88	-80	-96	-84	-26		-96		-84	-88			-90				-90																																																																																																				center
