1	2	3	4	5	location
-90	-86	-76	-60	-88	center
-90	-86	-78			center
-90	-88	-78			center
	-84		-60	-88	center
-88	-88	-76	-60		center
-96	-82	-78	-70		center
-92	-80	-82	-68		center
-90	-84	-76	-60	-96	center
-88	-84	-76	-60	-88	center
-88	-86	-76	-60	-94	center
-92	-78	-78	-60	-96	center
-90	-80	-82	-68	-96	center
-90	-88	-78	-68	-88	center
-92	-80	-78	-60		center
-94	-84	-82	-60	-96	center
-90	-88	-78	-60	-88	center
-94	-84	-78			center
-94	-82		-68		center
-90	-80	-76	-70	-88	center
	-84	-82	-60	-96	center
-94	-84	-76	-60	-96	center
-92	-80		-60	-88	center
-94	-86	-82	-68		center
-94	-82	-82	-70	-88	center
-88	-86	-82	-60	-96	center
-92	-88	-76	-60	-96	center
	-84	-80	-60		center
	-78	-76	-68	-94	center
-90	-82	-76	-68	-88	center
	-86		-60	-96	center
	-80	-76	-60	-94	center
-90	-86	-76	-60	-86	center
-94	-80	-76	-60	-88	center
-90	-86	-82	-68	-96	center
	-84	-78	-70	-88	center
-94	-78	-82	-60		center
-90	-78	-78	-60	-94	center
-92	-78	-82	-60	-88	center
-90	-84		-68	-88	center
	-84	-78	-68	-88	center
-90	-80	-76		-86	center
-92	-82	-80	-60	-94	center
-94	-82	-78		-94	center
-88	-90	-76		-88	center
-94	-90	-80	-60		center
	-90	-78		-94	center
-88	-80	-76	-68	-88	center
-94	-80	-80		-94	center
		-76	-60	-94	center
-94		-76	-60	-88	center
-88	-78	-78	-60	-96	center
-94	-88	-78	-68	-94	center
-94	-88	-76	-68	-88	center
	-82	-80	-60		center
-94	-88		-60	-90	center
-88	-82	-78	-60	-90	center
-88	-82	-78	-60		center
-88	-80	-78	-68	-88	center
-88	-82		-60	-96	center
-94	-88	-78	-60	-90	center
-94	-88	-78	-60	-96	center
-94	-78	-76	-60	-96	center
-86		-80		-90	center
-92	-82	-76	-68	-94	center
-88	-82	-80	-68	-88	center
-86	-88	-78	-60	-94	center
	-88	-76	-60		center
-88	-80	-78		-96	center
-94	-88	-76	-60	-96	center
-94	-90	-78	-68	-94	center
-92	-82	-76	-68	-90	center
-94	-84	-76	-60	-96	center
-88	-80		-60	-96	center
	-82	-78	-60	-90	center
-88	-90	-80	-60	-90	center
-94	-90	-78	-68		center
-88	-90	-78			center
-88	-88	-80	-60	-90	center
-88	-82		-60	-96	center
-94			-60		center
-94	-84		-68	-96	center
-92	-82	-76	-68	-90	center
	-82	-80		-90	center
-88	-82	-78	-60	-96	center
-92	-82	-78	-60		center
-94	-82		-60		center
-88	-82	-78	-68		center
-90	-84	-80	-68		center
-92	-88	-78	-60	-96	center
-88	-84	-76	-60	-96	center
-92	-82	-78	-60	-96	center
-88	-88	-80	-60	-88	center
-88	-80	-78	-68	-94	center
-94	-88	-76	-68	-94	center
-88	-90	-80		-90	center
-94	-82	-76	-60	-96	center
-88	-88	-78	-60	-88	center
-88	-88	-76	-60	-88	center
-88	-88		-66		center
-88	-84		-68	-88	center
-88	-88	-78		-88	center
-92	-82	-76		-96	center
-88	-80	-80	-60	-96	center
-88	-80	-78			center
-88	-88	-80	-60	-88	center
	-86		-60		center
-94			-68	-96	center
-88	-82	-80		-96	center
-94	-82		-60	-96	center
-96	-80	-78	-60	-96	center
	-78	-80		-96	center
	-80	-80	-68		center
	-80	-78		-94	center
-88	-82	-78	-60	-96	center
-88	-84	-80	-60		center
-88	-80	-76	-60	-88	center
-88	-84	-78	-60	-88	center
-94	-88	-80			center
-96	-88	-78	-68	-88	center
-96	-80	-80	-68	-88	center
-96	-82	-76	-60		center
-92	-88	-76	-60		center
-88	-84	-76			center
-88	-84	-78	-60		center
-94	-80	-76	-60	-90	center
-94	-80	-76	-68	-88	center
-94	-80		-68		center
-94	-88			-96	center
-96	-88	-76	-60	-88	center
-88	-86	-78	-60	-90	center
-96	-84	-80			center
	-80	-78	-60		center
-94	-86	-76		-88	center
-88	-80	-78	-68		center
	-82	-78	-60		center
-96	-80	-80	-60		center
	-84	-76	-60	-96	center
-94	-88	-76	-60	-88	center
-94	-86	-80	-66	-88	center
	-88		-68	-96	center
-90	-82	-76		-90	center
	-80		-60	-94	center
-90	-90	-78	-60	-88	center
-96	-80	-76	-60	-88	center
