1	2	3	4	5	location
-92	-92	-72	-68		north
-90	-88	-74	-66		north
	-88	-70	-68	-96	north
	-84	-72	-66		north
-90	-90	-72	-68		north
-90	-86		-68	-96	north
-90	-88	-72	-68		north
-92	-88	-72	-68		north
-92	-86				north
-90	-88	-70	-68		north
	-88	-70	-68	-96	north
-88	-84	-70	-66	-94	north
-92	-84	-70	-66		north
-92	-86	-70	-66		north
-92	-84	-70	-66		north
-90		-70	-66		north
-90	-84	-70	-66		north
-94	-86	-72	-66		north
-90	-84	-70	-68		north
-90		-72	-66		north
-94	-84	-72	-66	-96	north
-88	-84	-72	-68		north
-86	-86	-72			north
-92	-86	-70	-66		north
-90	-86	-72	-68		north
-90	-82	-70	-68		north
	-84	-70	-66		north
-92	-84	-74	-68		north
-94	-84	-70	-66		north
-92	-88	-74	-66		north
-92	-84	-70	-66		north
-92	-84	-70	-68		north
-92	-88		-68		north
-94	-86	-70	-68		north
-88	-88		-68		north
-88	-90	-74	-68		north
-94	-90	-72	-66		north
-92	-90	-72	-66	-94	north
-88	-90	-72	-68		north
		-72	-68		north
-86	-90	-70	-68	-96	north
-92	-88		-68	-96	north
		-70	-68		north
-92	-88	-70	-66		north
-92	-94	-70	-66		north
-90	-84	-74	-66		north
-92	-82	-70	-66		north
-88	-86	-74	-68	-94	north
-92	-84	-72	-66		north
-92	-84	-72	-68		north
-92	-84	-70	-68	-96	north
-94	-88	-72	-68		north
-88	-88	-70	-66		north
-90	-88	-72	-66		north
-92	-84	-72	-68		north
-92	-88	-68	-68		north
-94	-90		-68		north
-90	-86	-72	-68		north
-92	-86	-70	-66	-94	north
-92	-88		-66		north
-92	-88	-68	-68		north
	-88	-76	-66		north
-90		-72	-68		north
-92	-88	-74	-68	-94	north
		-74	-66		north
-90	-84	-72	-66	-96	north
-92	-84	-68	-66		north
-88	-88	-74	-66		north
-92	-88	-70	-68		north
-92	-84	-72	-66	-96	north
-92	-88	-68	-68		north
	-84	-72	-68		north
-88	-84	-72	-68	-94	north
-92	-88		-68	-94	north
-90	-86	-76	-66		north
-90	-84	-72	-66	-94	north
-90	-84	-68	-68		north
-92	-88		-68		north
-94	-84	-72	-68		north
-92	-86	-70	-68		north
-90	-84	-74	-68	-94	north
-90	-84	-72	-66		north
-92	-84	-74	-68		north
-92	-84	-72	-68		north
-88	-84	-72	-68	-96	north
-90	-86	-70	-66		north
