-68	-78	-86	-88	-64	-64	-56	-86	-88	-60	-84		-76	-88	-78	-64	-76	-94	-90	-88	-88		-74	-92	-90	-92						-94	-94		-96	-96	-88		-74																																														south
-56	-82	-86	-88	-64	-66	-56	-90	-88	-56	-84		-76	-86	-78	-68	-78	-96	-90	-86	-92		-68		-92	-94			-96			-94	-94	-96	-96	-96	-92		-70																																														south
-70	-78	-86	-90	-64	-64	-60	-84	-86	-60	-84			-86	-76	-62	-76	-96	-88	-88	-88		-76	-90	-92	-94						-94	-96	-96		-94	-88		-86																																														south
-66	-80	-86	-88	-66	-70	-62	-92	-88	-60	-84		-78	-88	-76	-62	-80	-96	-88		-88		-74	-90	-90		-92		-96	-94		-92	-94		-96	-96	-88		-88																																														south
-64	-80	-88	-94	-64	-66		-88	-88	-58	-82		-80	-88	-76	-62	-76	-96	-88				-74	-92	-92				-96	-94		-94	-94			-96	-82		-72																																														south
-58	-76	-86	-92	-64	-64		-86	-88	-58	-80		-80	-88	-78	-62	-74	-94	-88	-92	-88		-74	-90	-90	-92			-96			-94	-96			-96	-90		-72																																														south
-58	-78	-88	-94	-70	-68		-86	-88	-60	-84		-80	-86	-76	-68	-76	-96	-88	-88	-90		-78	-90	-90	-92	-86			-94		-94	-94			-96	-84		-72																																														south
-58	-84	-86	-86	-64	-64		-84	-88	-60	-82		-76	-86	-76	-62	-76	-96	-88	-92	-84		-74	-92	-90	-94				-92		-92	-92			-94	-82		-70																																														south
-66	-78	-86	-90	-66	-64		-88	-88	-60	-82		-78	-86	-76	-68	-74	-96	-90	-86	-84		-64	-96	-92	-96	-92		-96			-94	-92	-96		-96	-90		-86																																														south
-58	-82	-86	-88	-62	-64	-62	-86	-86	-60	-84		-76	-88	-74	-66	-76	-92	-86	-86	-86		-62			-96			-96			-94	-94				-90		-72																																														south
